Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
16.895		-209.1		-0.894		-0.2		-0.0007		53.1		187.1						
16.992		-203.5		-0.924		1.1		0.0009		53.3		188.0						
17.090		-198.7		-0.934		7.5		0.0024		53.9		185.7						
17.188		-190.4		-0.955		2.4		0.0009		53.4		181.9						
17.285		-187.4		-0.968		1.1		0.0009		53.3		181.4						
17.383		-187.8		-0.978		2.4		0.0024		53.5		183.8						
17.480		-179.1		-1.002		3.7		0.0009		53.5		179.4						
17.578		-172.2		-1.025		1.1		-0.0007		53.2		176.4						
17.676		-170.4		-1.023		1.1		0.0024		53.4		174.3						
17.773		-162.6		-1.041		4.9		0.0039		53.8		169.4						
17.871		-157.0		-1.062		4.9		0.0009		53.6		166.8						
17.969		-153.0		-1.079		3.7		0.0009		53.5		165.2						
18.066		-145.7		-1.077		3.7		0.0009		53.5		156.9						
18.164		-139.6		-1.083		3.7		0.0009		53.5		151.2						
18.262		-131.7		-1.102		2.4		0.0009		53.4		145.2						
18.359		-123.0		-1.098		3.7		0.0009		53.5		135.1						
18.457		-115.7		-1.104		3.7		-0.0007		53.4		127.7						
18.555		-109.6		-1.102		2.4		-0.0007		53.3		120.8						
18.652		-100.0		-1.109		3.7		0.0039		53.7		110.9						
18.750		-91.7		-1.113		3.7		0.0009		53.5		102.1						
18.848		-83.0		-1.102		3.7		0.0009		53.5		91.5						
18.945		-77.4		-1.102		-0.2		-0.0022		52.9		85.3						
19.043		-69.1		-1.104		1.1		0.0024		53.4		76.4						
19.141		-61.7		-1.096		3.7		0.0009		53.5		67.7						
19.238		-57.0		-1.077		2.4		-0.0007		53.3		61.4						
19.336		-45.2		-1.083		2.4		0.0009		53.4		49.0						
19.434		-37.8		-1.071		2.4		0.0024		53.5		40.5						
19.531		-29.6		-1.060		2.4		0.0009		53.4		31.3						
19.629		-19.6		-1.046		-0.2		-0.0022		52.9		20.5						
19.727		-10.4		-1.035		1.1		-0.0007		53.2		10.8						
19.824		-0.9		-1.018		3.7		0.0024		53.6		0.9						
19.922		7.0		-1.006		4.9		-0.0007		53.5		-7.0						
20.020		14.3		-0.983		2.4		-0.0007		53.3		-14.1						
