Time,E1,I1,E2,I2,E3,I3,AI8,Pm,Torque,Category
218.75,31.7,-1.4,-438.7,-0.06,473,1.72,1013.3,320.1,3,Over Current
219.73,209.6,-1.08,-333.6,-0.61,540.4,1.83,990.3,313,3,Over Current
220.7,335.7,-0.66,-195.9,-1.15,529.6,1.72,1015.8,320.9,3,Over Current
221.68,437.8,-0.21,-34.7,-1.67,470.4,1.39,1017.1,321.5,3,Over Current
222.66,527,0.28,149.8,-1.92,383.5,1,1012,319.7,3,Over Current
223.63,533,0.85,285.3,-1.88,249.1,0.7,1009.4,317.5,3,Over Current
224.61,504.3,1.46,398.7,-1.61,103,0.31,1017.1,321.3,3,Over Current
225.59,420.9,1.75,495.5,-1.3,-70.9,-0.22,1018.4,320.9,3,Over Current
226.56,316.1,1.93,553.3,-0.94,-236.1,-0.72,1020.9,322.5,3,Over Current
227.54,163.9,1.82,519.4,-0.49,-352.6,-1.22,1018.4,321.4,3,Over Current
228.52,6.1,1.47,462.5,-0.05,-455.2,-1.68,1017.1,321.3,3,Over Current
229.49,-174.8,1.12,364.4,0.5,-533.5,-1.82,1018.4,321.7,3,Over Current
230.47,-310.4,0.74,225.4,1.04,-530.4,-1.73,1017.1,321.3,3,Over Current
231.45,-417.4,0.31,71.2,1.58,-480.9,-1.42,1012,319.2,3,Over Current
232.42,-507.8,-0.18,-110.3,1.86,-397.4,-1.08,1014.5,320.7,3,Over Current
233.4,-535.7,-0.74,-261,1.9,-272.2,-0.78,1014.5,320.4,3,Over Current
234.38,-514.3,-1.35,-383.1,1.67,-129.1,-0.39,1014.5,320.4,3,Over Current
235.35,-439.6,-1.72,-476.4,1.35,37.8,0.12,1014.5,320.7,3,Over Current
236.33,-342.2,-1.88,-543.3,1.02,207.4,0.63,1017.1,321.3,3,Over Current
237.31,-198.3,-1.88,-530.3,0.55,333,1.1,1017.1,321.2,3,Over Current
238.28,-45.7,-1.56,-483.4,0.14,439.6,1.61,1017.1,321.2,3,Over Current
239.26,134.3,-1.2,-390,-0.4,525.2,1.81,1015.8,321.1,3,Over Current
240.23,283,-0.83,-252.8,-0.92,539.6,1.79,1017.1,321.2,3,Over Current
